display_id,assigned_tag_id,assigned_primary_tag,confidence,agent_reason,question_stem
"QUAD-098","tag_ma_quadratic_1","Relation between Roots & Coefficients","Medium","Conditions fix the quadratic; the other root is found via the sum of roots then placed in an interval.","Let $f(x)$ be a quadratic polynomial such that $f(-1) + f(2) = 0$. If one of the roots of $f(x) = 0$ is 3, then its other root lies in"
"QUAD-099","tag_ma_quadratic_4","Location of Roots","High","Exactly one root in (0,1) via f(0)f(1) < 0 sign condition.","The set of all real values of $\lambda$ for which the quadratic equation $(\lambda^2 + 1)x^2 - 4\lambda x + 2 = 0$ always have exactly one root in the"
"QUAD-100","tag_ma_quadratic_4","Location of Roots","High","Both roots in (1,5): f(1)>0, f(5)>0, vertex in interval, discriminant > 0.","If both the roots of the quadratic equation $x^2 - mx + 4 = 0$ are real and distinct and they lie in the interval $(1, 5)$, then $m$ lies in the inter"
"QUAD-101","tag_ma_quadratic_8","N Degree Equations","Medium","Substitution on (x^2 - 9x + 11) reduces the quartic-looking equation to a quadratic.","The product of all the rational roots of the equation $(x^2 - 9x + 11)^2 - (x - 4)(x - 5) = 3$, is equal to"
"QUAD-102","tag_ma_quadratic_7","Equations with Piecewise Functions","High","Equation has multiple modulus terms |x|, |x-1|, |x-2|.","The number of real solutions of the equation $x(x^2 + 3|x| + 5|x - 1| + 6|x - 2|) = 0$ is ________."
"QUAD-103","tag_ma_quadratic_8","N Degree Equations","Medium","Substitution t = e^{sin x} reduces it to a quadratic in t, then feasibility of sin x is checked.","The number of solutions, of the equation $e^{\sin x} - 2e^{-\sin x} = 2$ is"
"QUAD-104","tag_ma_quadratic_8","N Degree Equations","High","Setting t = (sqrt3+sqrt2)^x gives t + 1/t = 10, a reciprocal-type quadratic.","Let $S = \{ x \in R : (\sqrt{3} + \sqrt{2})^x + (\sqrt{3} - \sqrt{2})^x = 10 \}$. Then the number of elements in $S$ is:"
"QUAD-105","tag_ma_quadratic_9","Higher Degree Polynomials","High","Three roots of a cubic x^3 + bx + c = 0 with Vieta relations among alpha, beta, gamma.","Let $\alpha, \beta, \gamma$ be the three roots of the equation $x^3 + bx + c = 0$. If $\beta\gamma = 1 = -\alpha$ then $b^3 + 2c^3 - 3\alpha^3 - 6\bet"
"QUAD-106","tag_ma_quadratic_8","N Degree Equations","Medium","Substituting t = e^{2x} reduces the high-degree exponential to a polynomial reducible/factorable form.","The number of points, where the curve $f(x) = e^{8x} - e^{6x} - 3e^{4x} - e^{2x} + 1, x \in \mathbb{R}$ cuts $x$-axis, is equal to ________."
"QUAD-107","tag_ma_quadratic_2","Conditions on Roots & Discriminant","Medium","After resolving the log set, maximum beta for real roots is a discriminant >= 0 condition.","Let $S = \{ \alpha : \log_2 (9^{2 \alpha-4} + 1) - \log_2 (\frac{5}{2} \cdot 3^{2 \alpha-4} + 1) = 2 \}$. Then the maximum value of $\beta$ for which "
"QUAD-108","tag_ma_quadratic_8","N Degree Equations","High","Reciprocal (palindromic) equation in e^x reduced by t = e^x + 1/e^x to a quadratic.","The equation $e^{4x} + 8e^{3x} + 13e^{2x} - 8e^x + 1 = 0, x \in R$ has :"
"QUAD-109","tag_ma_quadratic_8","N Degree Equations","High","Factored exponential equation in e^x reducible to quadratics via t = e^x.","The sum of all real roots of equation $(e^{2x} - 4)(6e^{2x} - 5e^x + 1) = 0$ is"
"QUAD-110","tag_ma_quadratic_8","N Degree Equations","Medium","Exponential equation in e^x and e^{-x} reduces to a polynomial in t = e^x.","If the sum of all the roots of the equation $e^{2x} - 11e^x - 45e^{-x} + \frac{81}{e^x} = 0$ is $\log_e P$, then $P$ is equal to ________."
"QUAD-111","tag_ma_quadratic_8","N Degree Equations","High","Palindromic equation in e^x reducible via t = e^x + 1/e^x to a quadratic.","The number of real solutions of the equation $e^{4x} + 4e^{3x} - 58e^{2x} + 4e^x + 1 = 0$ is ________."
"QUAD-112","tag_ma_quadratic_8","N Degree Equations","Medium","Substitution t = 32^{tan^2 x} converts it to a quadratic in t.","The number of solutions of the equation $32^{\tan^2 x} + 32^{\sec^2 x} = 81, 0 \leq x \leq \frac{\pi}{4}$ is :"
"QUAD-113","tag_ma_quadratic_8","N Degree Equations","High","Palindromic equation in e^x reduced via t = e^x + 1/e^x to a quadratic.","The number of real roots of the equation, $e^{4x} + e^{3x} - 4e^{2x} + e^x + 1 = 0$ is:"
"QUAD-114","tag_ma_quadratic_3","Max Min Value of Quadratic","Medium","alpha^4 + beta^4 written as a function of cos theta, then its minimum and maximum are found.","Let $\alpha_{\theta}$ and $\beta_{\theta}$ be the distinct roots of $2x^2 + (\cos\theta)x - 1 = 0, \theta \in (0, 2\pi)$. If $m$ and $M$ are the minim"
"QUAD-115","tag_ma_quadratic_10","Miscellaneous Problems","Medium","Diophantine condition x^2 - 2^y = 2023 over naturals; number-theoretic rather than a standard quadratic skill.","Let the set $C = \{ (x, y) \mid x^2 - 2^y = 2023, x, y \in \mathbb{N} \}$. Then $\sum_{(x, y) \in C} (x + y)$ is equal to ________."
"QUAD-116","tag_ma_quadratic_7","Equations with Piecewise Functions","High","Equations involve greatest integer [x] and modulus |x+2|.","Let $m$ and $n$ be the numbers of real roots of the quadratic equations $x^2 - 12x + [x] + 31 = 0$ and $x^2 - 5|x + 2| - 4 = 0$ respectively, where $["
"QUAD-117","tag_ma_quadratic_5","Common Roots","High","Two quadratics share the common root alpha; the transformed roots form the target equation.","Let $\lambda \neq 0$ be a real number. Let $\alpha, \beta$ be the roots of the equation $14x^2 - 31x + 3\lambda = 0$ and $\alpha, \gamma$ be the roots"
"QUAD-118","tag_ma_quadratic_6","Newton's Formula","High","alpha_n = 19^n - 12^n is a power sum where 19,12 are roots of x^2 - 31x + 228, giving the recurrence.","For a natural number $n$, let $\alpha_n = 19^n - 12^n$. Then, the value of $\frac{31\alpha_9 - \alpha_{10}}{57\alpha_8}$ is"
"QUAD-119","tag_ma_quadratic_1","Relation between Roots & Coefficients","Medium","Self-mapping condition (alpha^2 - 2 also a root) solved with Vieta sum/product relations.","The number of pairs $(a, b)$ of real numbers, such that whenever $\alpha$ is a root of the equation $x^2 + ax + b = 0$, $\alpha^2 - 2$ is also a root "
"QUAD-120","tag_ma_quadratic_9","Higher Degree Polynomials","Medium","Symmetric functions of three roots (cubic Vieta) used to compute a^4 + b^4 + c^4.","If $a + b + c = 1, ab + bc + ca = 2$ and $abc = 3$, then the value of $a^4 + b^4 + c^4$ is equal to:"
"QUAD-121","tag_ma_quadratic_6","Newton's Formula","High","pn = alpha^n + beta^n recurrence with alpha+beta=1, alpha*beta=-1 gives p(n+1) = p(n) + p(n-1).","Let $\alpha$ and $\beta$ be two real numbers such that $\alpha + \beta = 1$ and $\alpha\beta = -1$. Let $p_n = (\alpha)^n + (\beta)^n$, $p_{n-1} = 11$"
"QUAD-122","tag_ma_quadratic_6","Newton's Formula","High","pk = alpha^k + beta^k Fibonacci-type recurrence from x^2 - x - 1 = 0.","Let $\alpha$ and $\beta$ be the roots of the equation $x^2 - x - 1 = 0$. If $p_k = (\alpha)^k + (\beta)^k, k \geq 1$, then which one of the following "
"QUAD-123","tag_ma_quadratic_10","Miscellaneous Problems","Medium","Roots from a trig-coefficient quadratic feed an infinite series; mixes trigonometry, roots, and series.","Let $\alpha$ and $\beta$ be the roots of the quadratic equation $x^2 \sin\theta - x(\sin\theta\cos\theta + 1) + \cos\theta = 0$ $(0 < \theta < 45^{\ci"
"QUAD-124","tag_ma_quadratic_7","Equations with Piecewise Functions","High","Equation has multiple moduli |x+1|, |x+3|, |x+2|.","The number of distinct real roots of the equation $|x + 1||x + 3| - 4|x + 2| + 5 = 0$, is"
"QUAD-125","tag_ma_quadratic_4","Location of Roots","High","One root in (0,2), other in (2,3) via sign of f at endpoints, counting integral c.","Consider the quadratic equation $(c - 5)x^2 - 2cx + (c - 4) = 0, c \neq 5$. Let $S$ be the set of all integral values of $c$ for which one root of the"
"QUAD-126","tag_ma_quadratic_9","Higher Degree Polynomials","Medium","Product over the four roots of a genuine quartic, evaluated via Vieta on the degree-4 equation.","Let $x_1, x_2, x_3, x_4$ be the solution of the equation $4x^4 + 8x^3 - 17x^2 - 12x + 9 = 0$ and $(4 + x_1^2)(4 + x_2^2)(4 + x_3^2)(4 + x_4^2) = \frac"
"QUAD-127","tag_ma_quadratic_9","Higher Degree Polynomials","High","Degree-7 polynomial roots ordered by magnitude; uses higher-degree factorization and root relations.","Let $\alpha_1, \alpha_2, \dots, \alpha_7$ be the roots of the equation $x^7 + 3x^5 - 13x^3 - 15x = 0$ and $|\alpha_1| \geq |\alpha_2| \geq \dots \geq "
"QUAD-128","tag_ma_quadratic_8","N Degree Equations","High","Setting t = (sqrt3+sqrt2)^{x^2-4} gives t + 1/t = 10, reducible to quadratic then biquadratic in x.","Let $S = \{ x : x \in \mathbb{R} \text{ and } (\sqrt{3} + \sqrt{2})^{x^2-4} + (\sqrt{3} - \sqrt{2})^{x^2-4} = 10 \}$ Then $n(S)$ is equal to"
"QUAD-129","tag_ma_quadratic_9","Higher Degree Polynomials","Medium","Sum of cubes of the four roots of a quartic via Newton's identities on degree-4 Vieta.","The sum of the cubes of all the roots of the equation $x^4 - 3x^3 - 2x^2 + 3x + 1 = 0$ is ________."
"QUAD-130","tag_ma_quadratic_8","N Degree Equations","High","Palindromic equation in e^x reduced via t = e^x + 1/e^x to a quadratic.","The number of real roots of the equation $e^{4x} - e^{3x} - 4e^{2x} - e^x + 1 = 0$ is equal to"
"QUAD-131","tag_ma_quadratic_5","Common Roots","High","Common root between two quadratics under an A.P. condition determines the relation.","If $a, b, c$ are in A.P. and if the equations $(b-c)x^2 + (c-a)x + (a-b) = 0$ and $2(c+a)x^2 + (b+c)x = 0$ have a common root, then"
"QUAD-132","tag_ma_quadratic_3","Max Min Value of Quadratic","High","Minimizes sum of squares of roots (a quadratic in a) via completing the square.","If the sum of the squares of the roots of the equation $x^2 - (a-2)x - (a+1) = 0$ is least for an appropriate value of the variable parameter $a$, the"
"QUAD-133","tag_ma_quadratic_3","Max Min Value of Quadratic","High","Minimizes sum of squares of roots as a quadratic in the parameter a.","For what value of $a$, the sum of the squares of the roots of the equation $x^2 - (a-2)x - a + 1 = 0$ will have the least value?"
"QUAD-134","tag_ma_quadratic_2","Conditions on Roots & Discriminant","High","Adding the two discriminants shows at least two real roots; a discriminant-sign argument.","If $P(x) = ax^2 + bx + c$ and $Q(x) = -ax^2 + dx + c$ where $ac \neq 0$, then $P(x) \cdot Q(x) = 0$ has ($a, b, c, d$ are real)"
"QUAD-135","tag_ma_quadratic_2","Conditions on Roots & Discriminant","High","Rational-root count via parity of the discriminant for odd a,b,c.","If $a, b, c$ are distinct odd natural numbers, then the number of rational roots of the equation $ax^2 + bx + c = 0$"
"QUAD-136","tag_ma_quadratic_10","Miscellaneous Problems","Medium","Counting how many quadratics with digit coefficients have 0 as a root; a combinatorial counting task.","Let $N$ be the number of quadratic equations with coefficients from $\{0, 1, 2, \ldots, 9\}$ such that $0$ is a solution of each equation. Then the va"
"QUAD-137","tag_ma_quadratic_4","Location of Roots","High","Roots straddling +/-2 (alpha < -2 < 2 < beta) implies f(2)<0 and f(-2)<0 sign conditions.","If the quadratic equation $ax^2 + bx + c = 0$ ($a > 0$) has two roots $\alpha$ and $\beta$ such that $\alpha < -2$ and $\beta > 2$ then"
"QUAD-138","tag_ma_quadratic_4","Location of Roots","High","Number 2 lying between the roots gives a*f(2) < 0 sign condition.","If one root of $x^2 + px - q^2 = 0$, $p$ and $q$ are real, be less than 2 and the other be greater than 2, then"
"QUAD-139","tag_ma_quadratic_2","Conditions on Roots & Discriminant","Medium","No real root means discriminant b^2 < ac, deciding compatibility with A.P./G.P./H.P.","Consider a quadratic equation $ax^2 + 2bx + c = 0$ where $a, b, c$ are positive real numbers. If the equation has no real root, then which of the foll"
"QUAD-140","tag_ma_quadratic_3","Max Min Value of Quadratic","High","Minimizes sum of squares of roots, a quadratic in a, via completing the square.","The value of $a$ for which sum of the squares of the roots of the equation $x^2 - (a-2)x - a - 1 = 0$ assumes the least value is"
"QUAD-141","tag_ma_quadratic_2","Conditions on Roots & Discriminant","High","Roots are rational because the discriminant is a perfect square for odd integers a,b.","If $a, b$ are odd integers, then the roots of the equation $2ax^2 + (2a+b)x + b = 0$, $a \neq 0$ are"
"QUAD-142","tag_ma_quadratic_6","Newton's Formula","High","an = alpha^n - beta^n recurrence simplifies (a10 - 2a8)/(2a9).","Let $ \alpha, \beta$ be the roots of the equation $ x^2 - 6x - 2 = 0$ with $ \alpha > \beta$. If $ a_n = \alpha^n - \beta^n$ for $ n \ge 1$, then the "
"QUAD-143","tag_ma_quadratic_10","Miscellaneous Problems","Medium","Transcendental equation 6^x + 8^x = 10^x solved by monotonicity, not standard quadratic methods.","The equation $ 6^x + 8^x = 10^x$ has"
